,open,high,low,close,adjclose,volume,ticker
1990-10-29,0.2700890004634857,0.2723209857940674,0.265625,0.266741007566452,0.21501776576042175,123480000,AAPL
1990-10-30,0.265625,0.2745540142059326,0.2578130066394806,0.27120500802993774,0.21861612796783447,98044800,AAPL
1990-10-31,0.2723209857940674,0.2845979928970337,0.2700890004634857,0.2745540142059326,0.22131577134132385,148758400,AAPL
1990-11-01,0.2723209857940674,0.2767859995365143,0.265625,0.2723209857940674,0.21951577067375183,90652800,AAPL
1990-11-02,0.2723209857940674,0.2890630066394806,0.2723209857940674,0.28348198533058167,0.2285124510526657,148612800,AAPL
1990-11-05,0.2879459857940674,0.29910698533058167,0.2857140004634857,0.296875,0.23930849134922028,184475200,AAPL
1990-11-06,0.29910698533058167,0.3080359995365143,0.296875,0.29910698533058167,0.2411077469587326,184766400,AAPL
1990-11-07,0.29910698533058167,0.3013390004634857,0.29129499197006226,0.296875,0.23930849134922028,202977600,AAPL
1990-11-08,0.29464301466941833,0.3125,0.29464301466941833,0.3080359995365143,0.2483053207397461,199248000,AAPL
1990-11-09,0.3125,0.3191959857940674,0.3080359995365143,0.3169640004634857,0.2555021047592163,198228800,AAPL
1990-11-12,0.3169640004634857,0.328125,0.31473198533058167,0.3236609995365143,0.2609005868434906,145051200,AAPL
1990-11-13,0.3236609995365143,0.32589301466941833,0.3191959857940674,0.3214290142059326,0.2591013014316559,141948800,AAPL
1990-11-14,0.3191959857940674,0.3325890004634857,0.3191959857940674,0.33035698533058167,0.26629796624183655,190747200,AAPL
1990-11-15,0.328125,0.33035698533058167,0.3169640004634857,0.3214290142059326,0.2591013014316559,161772800,AAPL
1990-11-16,0.3191959857940674,0.3214290142059326,0.31026801466941833,0.313616007566452,0.2536483407020569,183008000,AAPL
1990-11-19,0.3169640004634857,0.3247770071029663,0.31473198533058167,0.3247770071029663,0.2626752555370331,223910400,AAPL
1990-11-20,0.32589301466941833,0.328125,0.31473198533058167,0.3169640004634857,0.25635623931884766,153630400,AAPL
1990-11-21,0.31473198533058167,0.3236609995365143,0.31026801466941833,0.32254499197006226,0.2608700096607208,123211200,AAPL
1990-11-23,0.3236609995365143,0.33035698533058167,0.3214290142059326,0.3247770071029663,0.2626752555370331,53200000,AAPL
1990-11-26,0.3214290142059326,0.33035698533058167,0.3214290142059326,0.328125,0.26538312435150146,81457600,AAPL
1990-11-27,0.33035698533058167,0.34151801466941833,0.328125,0.3348209857940674,0.27079877257347107,164584000,AAPL
1990-11-28,0.3370540142059326,0.34375,0.328125,0.328125,0.26538312435150146,174910400,AAPL
1990-11-29,0.33035698533058167,0.33035698533058167,0.3236609995365143,0.328125,0.26538312435150146,126705600,AAPL
1990-11-30,0.3236609995365143,0.3325890004634857,0.3236609995365143,0.328125,0.26538312435150146,121508800,AAPL
1990-12-03,0.3325890004634857,0.34151801466941833,0.33035698533058167,0.3404020071029663,0.27531254291534424,165401600,AAPL
1990-12-04,0.3348209857940674,0.34598198533058167,0.3348209857940674,0.34375,0.27802038192749023,152152000,AAPL
1990-12-05,0.34375,0.359375,0.33816999197006226,0.358258992433548,0.2897549867630005,218388800,AAPL
1990-12-06,0.3683040142059326,0.37276801466941833,0.36160698533058167,0.3683040142059326,0.29787927865982056,532246400,AAPL
1990-12-07,0.3660709857940674,0.3816959857940674,0.3660709857940674,0.3794640004634857,0.30690547823905945,329660800,AAPL
1990-12-10,0.37723198533058167,0.3794640004634857,0.3705359995365143,0.37276801466941833,0.30148980021476746,250588800,AAPL
1990-12-11,0.3683040142059326,0.3705359995365143,0.35714301466941833,0.35714301466941833,0.2888524532318115,347883200,AAPL
1990-12-12,0.3549109995365143,0.35714301466941833,0.3482140004634857,0.35379499197006226,0.2861446440219879,242356800,AAPL
1990-12-13,0.3526790142059326,0.3660709857940674,0.3526790142059326,0.3638390004634857,0.2942681610584259,160731200,AAPL
1990-12-14,0.359375,0.36160698533058167,0.3526790142059326,0.3560270071029663,0.2879498302936554,87068800,AAPL
1990-12-17,0.3482140004634857,0.36160698533058167,0.3482140004634857,0.358258992433548,0.2897549867630005,131107200,AAPL
1990-12-18,0.3660709857940674,0.3794640004634857,0.3638390004634857,0.37723198533058167,0.3051002323627472,220987200,AAPL
1990-12-19,0.3794640004634857,0.3794640004634857,0.3671880066394806,0.373883992433548,0.3023924231529236,140660800,AAPL
1990-12-20,0.3683040142059326,0.3973209857940674,0.3683040142059326,0.39285698533058167,0.31773751974105835,401072000,AAPL
